Topic NO;NO Docs;Keywords
18;2;['astrolog', 'strunckel', 'astrolog', 'von', 'toper', 'mystic', 'cainer', 'stargaz', 'meg', 'newspap']
20;2;['chianti', 'giro', 'chianti', 'ride', 'tuscan', 'florenc', 'classico', 'dario', 'tuscani', 'radda']
21;2;['meg', 'meg', 'jon', 'singleday', 'jon', 'sweet', 'conceit', 'novel', 'seriou', 'kennedy’']
22;2;['levit', 'bach', 'levit', 'busoni', 'fantasia', 'recit', 'igor', 'music', 'oto', 'orazbayeva']
23;2;['movi', 'malick', 'malick', 'knight', 'angel', 'femal', 'knight', 'pictori', 'lo', 'terrenc']
24;2;['seth', 'rogen', 'efron', 'seth', 'joke', 'zac', 'rogen', 'parentsversusstud', 'homophobic’', 'superbad']
25;2;['uilleann', 'piper', 'pipe', 'henderson', 'ballad', 'ulsterborn', 'uillean', 'jarlath', 'ainsli', 'lyall']
27;2;['rabih', 'kirsten', 'botton', 'rabih', 'marriag', 'love', 'kirsten’', 'botton’', 'love', 'marri']
28;2;['point', 'knowadd', 'alwaysadd', 'sometimesadd', 'neveradd', 'point', 'd', 'c', 'b', 'circular']
31;2;['alyson', 'fco', 'diplomat', 'ambassador', 'wa', 'foreign', 'diplomat', 'report', 'oversea', 'amateurish']
32;2;['cent', 'tile', '5', 'tile', 'answer', '3', '3', 'e', 'circl', 'angl']
34;2;['2c', 'shuna', '•', 'shuna', 'page', 'ryder', 'adapt', '6', 'marchmain', 'waugh’']
35;2;['berrigan', 'dan', 'dan', 'hi', 'daniel', 'prisoners’', 'prison', 'xxiii', 'downandout', 'apostol']
38;2;['stilt', 'ostrich', 'stilt', 'breed', 'medmerri', 'blackwing', 'rose', 'suit', 'warden', 'bird']
40;2;['geofilt', 'snapchat', 'snapchat', 'filter', 'o’merri', 'corbyn', 'faceswap', 'ondemand', 'filter', 'wed']
42;2;['ross', 'axi', 'ross', 'suit', 'ap', 'star', 'ross’', 'ap’', 'lawsuit', 'polari']
45;2;['cassowari', 'snitti', 'psepholog', 'cassowari', 'snitti', 'vote', 'compass', 'australian', 'brought', 'everyth']
47;2;['rester', 'léo', 'film', 'vertic', 'guiraudi', 'guiraudi', 'wag', 'mari', 'rester', 'jeanloui']
48;2;['kangaroo', 'v', '9pm', 'invictu', 'wildlif', 'hi', 'invictu', 'malick', 'kangaroo', 'malon']
52;2;['neill', 'wilderpeopl', 'neill', 'zealand', 'neill’', 'begbi', 'traynor', 'truste', 'dennison', 'hunt']
53;2;['warwick', 'scous', 'cilla', 'gaga', 'dionn', 'luckett', 'accent', 'warwick', 'warwick’', 'liverpool']
54;2;['osbourn', 'ozzi', 'osbourn', 'sharon', 'sharon', 'sober', 'sabbath', 'ozzi', 'relaps', 'alcohol']
56;2;['diarist', 'master', 'diari', 'master', 'diari', '“e', '148', 'discard', 'hi', 'notebook']
58;2;['bitter', 'negroni', 'negroni', 'gin', 'bar', 'drink', 'campari', 'cocktail', 'tour', 'martini']
60;2;['saulnier', 'saulnier', 'green', 'room', 'movi', 'film', 'darci', 'ruin', 'violenc', 'blue']
61;2;['fienn', 'fienn', 'liddel', 'chariot', 'lawrenc', 'liddel', 'eric', 'wa', 'liddell’', 'film']
63;2;['bailey', 'rae’', 'corinn', 'rae', 'caramel', 'native’', 'gemlik', 'hyperdigit', 'neosoul', 'rae’']
64;2;['crouch', 'death', 'shakespeare’', 'death', 'petra', 'shakespearean', 'stage', 'kreiss', 'gagfest', 'directoradapt']
65;2;['lanza’', 'lanza’', 'lanza', 'jessi', 'singerwriter’', 'vivica', 'postpubstep', 'morod', 'brasher', 'yoke']
